"","CNTSTUID","CNT.x","ST001D01T","ST004D01T","STRATUM","ave_cr_social","ave_cr","ave_emp"
"1831",41001952,"KOR",9,2,"KOR01",2,1.64285714285714,3
"1832",41001953,"KOR",10,1,"KOR02",1,1.33333333333333,4
"1833",41001954,"KOR",10,1,"KOR02",1,0.692307692307692,2.6
"1834",41001955,"KOR",10,2,"KOR02",NA,NA,3.8
"1835",41001956,"KOR",10,2,"KOR03",NA,NA,2.4
"1836",41001957,"KOR",10,1,"KOR02",NA,NA,3.2
"1837",41001959,"KOR",10,2,"KOR02",NA,NA,3
"1838",41001960,"KOR",10,1,"KOR02",2,1.77777777777778,3.4
"1839",41001961,"KOR",10,2,"KOR02",1.66666666666667,1.28571428571429,3
"1840",41001962,"KOR",10,2,"KOR03",2,1.2,3.4
"1841",41001963,"KOR",10,1,"KOR02",NA,NA,3.2
"1842",41001964,"KOR",10,1,"KOR02",NA,1.27272727272727,3.2
"1843",41001965,"KOR",10,1,"KOR02",NA,NA,3.6
"1844",41001966,"KOR",10,1,"KOR03",1.6,1.28571428571429,2
"1845",41001967,"KOR",10,1,"KOR02",NA,NA,3.4
"1846",41001968,"KOR",10,1,"KOR02",NA,NA,4.6
"1847",41001969,"KOR",10,1,"KOR02",NA,NA,3.6
"1848",41001970,"KOR",10,1,"KOR02",NA,NA,3.6
"1849",41001971,"KOR",10,1,"KOR02",NA,NA,2.8
"1850",41001972,"KOR",10,2,"KOR02",NA,NA,2
"1851",41001973,"KOR",9,1,"KOR01",NA,NA,3.8
"1852",41001974,"KOR",10,1,"KOR02",NA,NA,3.2
"1853",41001975,"KOR",10,2,"KOR03",NA,NA,3.4
"1854",41001976,"KOR",10,2,"KOR02",NA,1.16666666666667,3.2
"1855",41001977,"KOR",10,1,"KOR03",2,1.35714285714286,3
"1856",41001978,"KOR",10,1,"KOR02",NA,NA,3.2
"1857",41001979,"KOR",10,1,"KOR02",0.666666666666667,1.07142857142857,2.2
"1858",41001980,"KOR",10,1,"KOR02",NA,NA,3.2
"1859",41001981,"KOR",10,2,"KOR03",NA,NA,3.4
"1860",41001982,"KOR",10,1,"KOR02",NA,NA,3.2
"1861",41001983,"KOR",10,2,"KOR02",0.666666666666667,1.2,3.6
"1862",41001984,"KOR",10,2,"KOR03",1.33333333333333,1.53333333333333,3.4
"1863",41001985,"KOR",10,1,"KOR02",NA,NA,3
"1864",41001986,"KOR",10,1,"KOR03",NA,NA,2.8
"1865",41001988,"KOR",10,1,"KOR02",NA,NA,3
"1866",41001989,"KOR",9,2,"KOR01",2,1.55555555555556,3
"1867",41001990,"KOR",10,1,"KOR02",NA,1.5,1.4
"1868",41001991,"KOR",9,2,"KOR01",NA,NA,4
"1869",41001992,"KOR",10,2,"KOR05",1,1.11111111111111,4
"1870",41001993,"KOR",10,2,"KOR03",NA,NA,3.2
"1871",41001994,"KOR",9,2,"KOR01",NA,NA,5
"1872",41001995,"KOR",10,1,"KOR02",NA,NA,2.8
"1873",41001996,"KOR",10,2,"KOR02",NA,NA,3
"1874",41001997,"KOR",10,2,"KOR02",NA,NA,2.2
"1875",41001998,"KOR",10,1,"KOR02",NA,NA,4
"1876",41001999,"KOR",10,1,"KOR02",NA,1.53333333333333,3
"1877",41002000,"KOR",10,2,"KOR03",2,1.22222222222222,3
"1878",41002001,"KOR",10,1,"KOR02",1.5,1.26666666666667,3.6
"1879",41002002,"KOR",10,1,"KOR02",2,1.44444444444444,2.6
"1880",41002003,"KOR",10,1,"KOR02",NA,NA,3.8
"1881",41002004,"KOR",10,1,"KOR02",NA,NA,2.8
"1882",41002005,"KOR",10,2,"KOR02",1,1.4,3.4
"1883",41002006,"KOR",10,2,"KOR02",NA,NA,3
"1884",41002007,"KOR",10,2,"KOR02",NA,1.26666666666667,3
"1885",41002008,"KOR",10,2,"KOR02",NA,NA,2.8
"1886",41002009,"KOR",9,2,"KOR01",0,0.6,3.4
"1887",41002010,"KOR",10,1,"KOR03",1.5,1.66666666666667,3.4
"1888",41002011,"KOR",10,1,"KOR02",NA,NA,2.8
"1889",41002012,"KOR",10,1,"KOR03",2,1.64285714285714,3
"1890",41002013,"KOR",10,2,"KOR03",NA,NA,3.8
"1891",41002014,"KOR",10,1,"KOR02",NA,NA,3
"1892",41002015,"KOR",10,1,"KOR02",2,1.33333333333333,3
"1893",41002016,"KOR",10,2,"KOR02",NA,1,3.4
"1894",41002017,"KOR",10,2,"KOR02",NA,NA,2.6
"1895",41002018,"KOR",10,2,"KOR02",NA,NA,4
"1896",41002019,"KOR",9,1,"KOR01",NA,NA,3.4
"1897",41002020,"KOR",9,1,"KOR01",NA,NA,3.8
"1898",41002021,"KOR",10,2,"KOR02",NA,NA,2.8
"1899",41002022,"KOR",9,2,"KOR01",NA,NA,3
"1900",41002023,"KOR",10,1,"KOR02",NA,NA,3.6
"1901",41002025,"KOR",9,2,"KOR01",NA,NA,3
"1902",41002026,"KOR",10,2,"KOR02",NA,NA,3.8
"1903",41002027,"KOR",10,2,"KOR02",NA,NA,3.6
"1904",41002028,"KOR",10,2,"KOR02",NA,NA,3
"1905",41002029,"KOR",10,2,"KOR02",NA,NA,2.8
"1906",41002033,"KOR",10,1,"KOR02",2,1.3,3.8
"1907",41002034,"KOR",10,1,"KOR02",NA,NA,3.6
"1908",41002035,"KOR",10,2,"KOR02",NA,NA,3.4
"1909",41002037,"KOR",10,2,"KOR02",2,1.35714285714286,3
"1910",41002038,"KOR",10,2,"KOR02",NA,NA,3
"1911",41002040,"KOR",10,1,"KOR02",NA,NA,3
"1912",41002041,"KOR",10,1,"KOR02",NA,NA,3.2
"1913",41002042,"KOR",10,1,"KOR02",NA,NA,2.8
"1914",41002043,"KOR",9,2,"KOR01",NA,NA,3
"1915",41002044,"KOR",10,2,"KOR03",NA,NA,2.8
"1916",41002045,"KOR",9,2,"KOR01",NA,NA,3
"1917",41002046,"KOR",10,2,"KOR02",1,1.2,3.6
"1918",41002047,"KOR",10,2,"KOR02",1.66666666666667,1.44444444444444,3
"1919",41002048,"KOR",10,1,"KOR03",0,0.9,3.2
"1920",41002049,"KOR",10,2,"KOR02",NA,NA,5
"1921",41002050,"KOR",10,2,"KOR02",NA,NA,NA
"1922",41002051,"KOR",10,1,"KOR02",NA,NA,3.4
"1923",41002052,"KOR",10,1,"KOR02",NA,NA,3.6
"1924",41002053,"KOR",10,2,"KOR02",NA,NA,2.6
"1925",41002054,"KOR",10,1,"KOR02",NA,NA,3.2
"1926",41002056,"KOR",10,2,"KOR02",NA,NA,3.4
"1927",41002057,"KOR",10,2,"KOR02",NA,NA,3.8
"1928",41002058,"KOR",10,2,"KOR02",NA,NA,3.6
"1929",41002059,"KOR",10,1,"KOR02",NA,NA,2.8
"1930",41002060,"KOR",10,1,"KOR02",NA,NA,3.6
"1931",41002061,"KOR",10,1,"KOR03",NA,NA,3.2
"1932",41002062,"KOR",10,2,"KOR02",NA,NA,3.2
"1933",41002063,"KOR",10,1,"KOR02",0,1.3,2.8
"1934",41002064,"KOR",10,1,"KOR02",NA,NA,3.2
"1935",41002065,"KOR",10,2,"KOR02",1.66666666666667,1.26666666666667,4
"1936",41002066,"KOR",10,2,"KOR02",NA,NA,3.8
"1937",41002067,"KOR",10,2,"KOR02",NA,NA,2.8
"1938",41002068,"KOR",10,2,"KOR02",1.66666666666667,1.53333333333333,3.6
"1939",41002069,"KOR",10,1,"KOR02",NA,NA,3
"1940",41002070,"KOR",10,2,"KOR02",NA,NA,3.4
"1941",41002071,"KOR",10,1,"KOR02",NA,NA,3
"1942",41002072,"KOR",10,1,"KOR02",NA,NA,3
"1943",41002073,"KOR",10,1,"KOR02",NA,NA,3
"1944",41002074,"KOR",9,1,"KOR01",NA,NA,3.2
"1945",41002075,"KOR",10,2,"KOR03",NA,NA,3.4
"1946",41002076,"KOR",10,1,"KOR02",NA,NA,3.6
"1947",41002077,"KOR",10,1,"KOR02",NA,NA,4
"1948",41002078,"KOR",10,2,"KOR02",NA,NA,3.2
"1949",41002079,"KOR",10,2,"KOR02",NA,NA,4.2
"1950",41002080,"KOR",10,2,"KOR03",NA,NA,2.8
"1951",41002081,"KOR",10,2,"KOR03",NA,NA,3.2
"1952",41002082,"KOR",10,2,"KOR02",1,0.777777777777778,3.4
"1953",41002083,"KOR",10,2,"KOR02",NA,NA,4
"1954",41002084,"KOR",10,2,"KOR02",NA,NA,3.4
"1955",41002085,"KOR",10,1,"KOR02",NA,NA,3.2
"1956",41002087,"KOR",10,1,"KOR02",NA,NA,2.2
"1957",41002088,"KOR",10,2,"KOR02",0.666666666666667,1.14285714285714,3.6
"1958",41002090,"KOR",10,2,"KOR02",NA,NA,2.8
"1959",41002091,"KOR",10,1,"KOR02",NA,NA,3
"1960",41002092,"KOR",10,1,"KOR02",NA,NA,2.8
"1961",41002093,"KOR",10,2,"KOR02",NA,NA,2.4
"1962",41002094,"KOR",10,1,"KOR03",2,0.888888888888889,3.2
"1963",41002095,"KOR",10,2,"KOR05",NA,NA,NA
"1964",41002096,"KOR",10,1,"KOR02",NA,NA,2.8
"1965",41002097,"KOR",10,1,"KOR02",NA,NA,3.8
"1966",41002098,"KOR",10,1,"KOR03",0.5,0.928571428571429,2
"1967",41002099,"KOR",10,1,"KOR03",NA,NA,3.4
"1968",41002100,"KOR",10,2,"KOR02",NA,NA,3.6
"1969",41002101,"KOR",10,1,"KOR02",1,1.22222222222222,3.2
"1970",41002102,"KOR",10,1,"KOR02",NA,NA,2.2
"1971",41002103,"KOR",10,2,"KOR02",2,1.57142857142857,3.4
"1972",41002104,"KOR",10,1,"KOR02",NA,0.714285714285714,NA
"1973",41002105,"KOR",10,1,"KOR02",NA,NA,3.8
"1974",41002106,"KOR",10,1,"KOR02",NA,NA,3.2
"1975",41002107,"KOR",10,2,"KOR02",1.66666666666667,1.42857142857143,3
"1976",41002108,"KOR",10,2,"KOR05",NA,NA,3.6
"1977",41002109,"KOR",10,2,"KOR02",NA,NA,4.8
"1978",41002111,"KOR",10,2,"KOR02",NA,NA,4
"1979",41002113,"KOR",10,1,"KOR02",NA,NA,2.8
"1980",41002114,"KOR",10,1,"KOR02",NA,NA,3.4
"1981",41002115,"KOR",10,1,"KOR03",NA,NA,2.8
"1982",41002116,"KOR",10,1,"KOR03",NA,NA,3
"1983",41002117,"KOR",10,2,"KOR02",NA,NA,3.4
"1984",41002118,"KOR",10,1,"KOR03",NA,NA,3.2
"1985",41002119,"KOR",10,2,"KOR02",0,0.777777777777778,3
"1986",41002120,"KOR",10,2,"KOR02",NA,NA,3.4
"1987",41002121,"KOR",10,2,"KOR02",NA,NA,3.2
"1988",41002123,"KOR",10,2,"KOR02",2,1.33333333333333,3.8
"1989",41002124,"KOR",10,1,"KOR03",NA,NA,3.2
"1990",41002125,"KOR",10,2,"KOR02",NA,NA,3.2
"1991",41002126,"KOR",10,1,"KOR02",NA,NA,3
"1992",41002127,"KOR",10,1,"KOR02",NA,NA,2.6
"1993",41002128,"KOR",10,1,"KOR02",NA,NA,3.2
"1994",41002129,"KOR",10,1,"KOR02",NA,NA,3
"1995",41002130,"KOR",9,1,"KOR01",NA,NA,3.4
"1996",41002131,"KOR",10,2,"KOR02",0.75,1,3.8
"1997",41002133,"KOR",10,2,"KOR02",NA,NA,3.4
"1998",41002134,"KOR",10,1,"KOR02",NA,NA,3
"1999",41002135,"KOR",10,1,"KOR02",1.66666666666667,1.46666666666667,3
"2000",41002136,"KOR",10,1,"KOR02",NA,NA,3.2
"2001",41002137,"KOR",10,2,"KOR02",NA,NA,3.4
"2002",41002138,"KOR",10,1,"KOR02",NA,NA,3.8
"2003",41002139,"KOR",10,2,"KOR02",0,1.4,3.6
"2004",41002140,"KOR",10,2,"KOR02",NA,NA,3.6
"2005",41002142,"KOR",10,1,"KOR02",NA,NA,3.2
"2006",41002143,"KOR",10,2,"KOR02",NA,NA,3.6
"2007",41002144,"KOR",10,1,"KOR02",1,1.4,2.4
